domain,target,reason,confidence
gmails.com,Google,Typosquatting Gmail with appended 's',High
gmaim.com,Google,Typosquatting Gmail with 'm' instead of 'l',High
gmain.com,Google,Typosquatting Gmail with 'n' instead of 'l',High
gmaiol.com,Google,Typosquatting Gmail with inserted 'o',High
gmaip.com,Google,Typosquatting Gmail with 'p' instead of 'l',High
gmaiul.com,Google,Typosquatting Gmail with inserted 'u',High
gmakil.com,Google,Typosquatting Gmail with inserted 'k',High
gmakl.com,Google,Typosquatting Gmail with 'k' substitution,High
gmal.com,Google,Typosquatting Gmail with missing 'i',High
gmali.com,Google,Typosquatting Gmail with transposed 'li',High
gmall.com,Google,Typosquatting Gmail with 'll' instead of 'il',High
gmaol.com,Google,Typosquatting Gmail with 'o' instead of 'i',High
gmasil.com,Google,Typosquatting Gmail with inserted 's',High
gmauil.com,Google,Typosquatting Gmail with inserted 'u',High
gmaul.com,Google,Typosquatting Gmail with 'u' instead of 'i',High
gmeil.com,Google,Typosquatting Gmail with 'e' instead of 'a',High
gmial.com,Google,Typosquatting Gmail with transposed 'ia',High
gmil.com,Google,Typosquatting Gmail with missing 'a',High
gmkail.com,Google,Typosquatting Gmail with 'k' instead of 'a',High
gmlail.com,Google,Typosquatting Gmail with transposed 'ml',High
gmmail.com,Google,Typosquatting Gmail with doubled 'm',High
gmpail.com,Google,Typosquatting Gmail with 'p' instead of 'a',High
gmqail.com,Google,Typosquatting Gmail with 'q' instead of 'a',High
gmqil.com,Google,Typosquatting Gmail with 'q' instead of 'ai',High
gmsail.com,Google,Typosquatting Gmail with 's' instead of 'a',High
gmsil.com,Google,Typosquatting Gmail with 's' instead of 'ai',High
gmwail.com,Google,Typosquatting Gmail with 'w' instead of 'a',High
gmzil.com,Google,Typosquatting Gmail with 'z' instead of 'ai',High
gnail.com,Google,Typosquatting Gmail with 'n' instead of 'm',High
gnmail.com,Google,Typosquatting Gmail with 'n' instead of 'm',High
goail.com,Google,Typosquatting Gmail with 'o' instead of 'gm',High
googlee.com,Google,Typosquatting Google with doubled 'e',High
googlet.com,Google,Typosquatting Google with appended 't',High
googli.com,Google,Typosquatting Google with 'i' instead of 'e',High
gtmail.com,Google,Typosquatting Gmail with 't' instead of 'g',High
hubsp0t.com,Salesforce,Typosquatting HubSpot (Salesforce product) with '0' instead of 'o',Medium
pple.com,Apple,Typosquatting Apple with missing 'A',High
qmail.com,Google,Typosquatting Gmail with 'q' instead of 'g',High
salesfotce.com,Salesforce,Typosquatting Salesforce with 'o' instead of 'or',High
sepotify.com,Spotify,Typosquatting Spotify with 'e' inserted,High
tgmail.com,Google,Typosquatting Gmail with 't' prepended,High
tmail.com,Google,Typosquatting Gmail with 't' instead of 'g',High
toogle.com,Google,Typosquatting Google with 't' instead of 'g',High
zber.com,Uber,Typosquatting Uber with 'z' instead of 'u',High
zmail.com,Google,Typosquatting Gmail with 'z' instead of 'g',High
00.0.gmail.com.gmail.8.3.gmail.35.cad.creou.dev,Google,Combo-squatting with multiple 'gmail' references in subdomain,High
001gmail.com,Google,Combo-squatting Gmail with prepended numbers,High
002gmail.com,Google,Combo-squatting Gmail with prepended numbers,High
004gmail.com,Google,Combo-squatting Gmail with prepended numbers,High
005gmail.com,Google,Combo-squatting Gmail with prepended numbers,High
006gmail.com,Google,Combo-squatting Gmail with prepended numbers,High
007gmail.com,Google,Combo-squatting Gmail with prepended numbers,High
008gmail.com,Google,Combo-squatting Gmail with prepended numbers,High
009gmail.com,Google,Combo-squatting Gmail with prepended numbers,High
010gmail.com,Google,Combo-squatting Gmail with prepended numbers,High
011gmail.com,Google,Combo-squatting Gmail with prepended numbers,High
01252gmail.com,Google,Combo-squatting Gmail with prepended numbers,High
012gmail.com,Google,Combo-squatting Gmail with prepended numbers,High
014gmail.com,Google,Combo-squatting Gmail with prepended numbers,High
016gmail.com,Google,Combo-squatting Gmail with prepended numbers,High
017gmail.com,Google,Combo-squatting Gmail with prepended numbers,High
019gmail.com,Google,Combo-squatting Gmail with prepended numbers,High
01gmail.com,Google,Combo-squatting Gmail with prepended numbers,High
0202gmail.com,Google,Combo-squatting Gmail with prepended numbers,High
020gmail.com,Google,Combo-squatting Gmail with prepended numbers,High
021gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
022gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
023gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
025gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
028gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
029gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
02gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
030gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
031gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
032gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
036gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
039gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
03gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
041gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
042gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
043gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
047gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
04gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
050gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
057gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
058gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
059gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
05gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
060gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
062gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
063gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
065gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
066gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
067gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
068gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
06gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
071gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
078gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
079gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
07gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
086gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
087gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
08gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
090gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
091gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
092gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
093gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
095gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
096gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
097gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
098gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
099gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
09gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
1.a.z.1.gmail.i.0.83.y.9.aiot.ptcu.dev,Google,Subdomain abuse incorporating 'gmail' in complex domain structure,High
1000gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
1001gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
100gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
1012gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
101gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
102gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
105gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
106gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
111gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
112gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
113gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
114gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
115gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
116gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
11gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
120gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
1212gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
1213gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
121gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
122gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
12345gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
1234gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
123gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
124gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
125gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
127gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
128gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
129gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
12gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
13.1955gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
130gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
1313gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
134gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
138gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
139gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
13gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
140gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
141gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
143gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
144gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
145gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
146gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
147gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
149gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
14gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
15.02gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
150gmail.com,Google,Combo-squatting with numeric prefix targeting Gmail service,High
151gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
152gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
153gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
154gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
155gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
156gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
157gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
15gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
161gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
164gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
166gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
167gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
168gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
16gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
170gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
171gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
174gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
175gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
176gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
178gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
179gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
17gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
182gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
183gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
185gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
186gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
187gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
188gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
189gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
18gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
190gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1944gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
194gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1950gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1953gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1956gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1957gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1959gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1960gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1961gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1963gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1964gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1969gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
196gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1970gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1974gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1975gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1978gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1979gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1980gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1981gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1982gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1983gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1984gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1985gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1986gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1987gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1988gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1989gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
198gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1990gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1991gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1992gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1993gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1994gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1995gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1996gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1997gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1998gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1999gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
199gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
19gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
1gmail.net,Google,TLD abuse and combo-squatting - 'gmail' with different TLD,High
1googlemail.com,Google,Combo-squatting - prepending number to 'googlemail' (Google service),High
2000gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
2001gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
2002gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
2003gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
2004gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
2005gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
2006gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
2007gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
2008gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
2009gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
200gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
2010gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
2011gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
2014gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
2016gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
2017gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
2018gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
2019gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
201gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
2020gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
204gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
206gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
208gmail.com,Google,Combo-squatting - prepending numbers to 'gmail' (Google service),High
20gmail.co.com,Google,TLD abuse and combo-squatting - 'gmail' with unusual TLD combination,High
210gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
211gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
2121gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
212gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
216gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
218gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
219gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
220gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
221gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
2222gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
222gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
223gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
224gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
227gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
231gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
2323gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
232gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
234gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
235gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
238gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
239gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
242gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
243gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
245gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
246gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
247gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
248gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
249gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
24gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
252gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
253gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
254gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
255gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
256gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
258gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
259gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
25gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
262gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
266gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
268gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
26gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
273gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
274gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
275gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
27gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
282gmail.co.com,Google,Typosquatting - numeric prefix added to 'gmail' with TLD abuse (.co.com),High
288gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
289gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
28gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
290gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
292gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
293gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
295gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
299gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
29gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
2fwww.finance.google.com.mailfranco.com,Google,Combo-squatting - contains 'google.com' in subdomain path to deceive users,High
300gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
301gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
302gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
303gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
304gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
305gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
307gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
308gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
309gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
30gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
310gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
312gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
314gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
315gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
318gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
31gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
321gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
323gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
324gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
32gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
330gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
333gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
334gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
335gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
336gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
337gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
338gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
33gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
341gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
342gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
343gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
344gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
345gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
346gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
347gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
34gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
350gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
351gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
353gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
356gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
