domain,priority,reason,flame_tp_ids,soa_email,ssl_org,ssl_serial,visual_hash
188pet.info,0,"FLAME:TP-0042, TP-0079","TP-0042, TP-0079",,,,
10minuteinbox.com,0,FLAME:TP-0043,TP-0043,dns@cloudflare.com,,,
12move.dk,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80),,dns@cloudflare.com,,,
188betapk.net,0,FLAME:TP-0019,TP-0019,,,,
186404.xyz,0,"FLAME:TP-0041,TP-0042","TP-0041,TP-0042",dns@cloudflare.com,,,
161ww161.com,0,"FLAME:TP-0041,TP-0042","TP-0041,TP-0042",dns@cloudflare.com,,,
181296.xyz,0,"FLAME:TP-0041,TP-0079","TP-0041,TP-0079",dns@cloudflare.com,,,
161yyy161.com,0,"FLAME:TP-0041,TP-0042","TP-0041,TP-0042",dns@cloudflare.com,,,
1800formybaby.com,0,"FLAME:TP-0041,TP-0042","TP-0041,TP-0042",dns@jomax.net,,,
161jjj161.com,0,"FLAME:TP-0041,TP-0042","TP-0041,TP-0042",dns@cloudflare.com,,,
1800waterdamagefranchise.info,0,"FLAME:TP-0041,TP-0042","TP-0041,TP-0042",dns@cloudflare.com,,,c6b055f512758bb2
18plusgamblingcasinos.com,0,FLAME:TP-0019,TP-0019,,,,
161ooo161.com,0,"FLAME:TP-0041,TP-0042","TP-0041,TP-0042",dns@cloudflare.com,,,
1800casinos.co,0,FP-0011: IP-KVM / Remote-Management Exposure (conf: 60),,dns@cloudflare.com,,,9999663699cc3333
18dewa.com,0,FLAME:TP-0019,TP-0019,dns@cloudflare.com,,,
1961.com,0,FP-0008: pickelhost/eye-mail ULA SPF Phishing Platform (conf: 75),TP-0001,admin@giantpanda.com,,,
17890714.xyz,0,FLAME:TP-0041,TP-0041,hostmaster@gandi.net,,,de4c31736492b365
1909.com,0,FP-0008: pickelhost/eye-mail ULA SPF Phishing Platform (conf: 75),TP-0001,admin@giantpanda.com,,,
1962.com,0,FP-0008: pickelhost/eye-mail ULA SPF Phishing Platform (conf: 75),TP-0001,admin@giantpanda.com,,,
1aaawholesalemerchandise.com,0,"FLAME:TP-0017,TP-0036,TP-0043","TP-0017,TP-0036,TP-0043",,,,
1978.com,0,FP-0008: pickelhost/eye-mail ULA SPF Phishing Platform (conf: 75),TP-0001,admin@giantpanda.com,,,
1964.com,0,FP-0008: pickelhost/eye-mail ULA SPF Phishing Platform (conf: 75),TP-0001,admin@giantpanda.com,,,
1969.com,0,FP-0008: pickelhost/eye-mail ULA SPF Phishing Platform (conf: 75),TP-0001,admin@giantpanda.com,,,
1blackmoon.com,0,"FLAME:TP-0042,TP-0048,TP-0061","TP-0042,TP-0048,TP-0061",,,,
188betthethao.org,0,FLAME:TP-0019,TP-0019,,,,
1716eee.com,0,"FLAME:TP-0041,TP-0042","TP-0041,TP-0042",dns@cloudflare.com,,,91c305011ff774db
1f4.xyz,0,FLAME:TP-0079,TP-0079,dns@cloudflare.com,,,
1go-level.buzz,0,FLAME:TP-0079,TP-0079,dns@cloudflare.com,,,
16816889.xyz,0,FP-0011: IP-KVM / Remote-Management Exposure (conf: 60),,dns@cloudflare.com,,,
1676.ru,0,"FLAME:TP-0041,TP-0042","TP-0041,TP-0042",support@netsto.com,,,
18naga.net,0,"FLAME:TP-0001,TP-0019","TP-0001,TP-0019",dns@cloudflare.com,,,
185962.xyz,0,"FLAME:TP-0041,TP-0079","TP-0041,TP-0079",dns@cloudflare.com,,,
1828k.com,0,FP-0008: pickelhost/eye-mail ULA SPF Phishing Platform (conf: 90),TP-0001,hostmaster@1828k.com,,,
18dealblast.com,0,FLAME:TP-0042,TP-0042,dns@cloudflare.com,,,
1810.4wrd.cc,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80),,,,,
0543sh.com,0,"FLAME:TP-0032, TP-0049","TP-0032, TP-0049",master@share-dns.com,,,cb8c3cb3306de632
166886.xyz,0,"FLAME:TP-0041,TP-0042","TP-0041,TP-0042",freednsadmin@dnspod.com,,,
1cryptodarkmarket.com,0,"FLAME:TP-0042,TP-0044,TP-0048,TP-0049","TP-0042,TP-0044,TP-0048,TP-0049",dns@cloudflare.com,,,
1win-casino-rc4.ru,0,FLAME:TP-0079,TP-0079,dns@cloudflare.com,,,8080007f7f7fff80
1win-casino-xk9.ru,0,FLAME:TP-0079,TP-0079,dns@cloudflare.com,,,8080007f7f7fff80
15057700.com,0,"FLAME:TP-0041,TP-0042","TP-0041,TP-0042",dns@cloudflare.com,,,
15h.ru,0,"FLAME:TP-0041,TP-0042","TP-0041,TP-0042",dnsmanager@hostiman.ru,,,
161fff161.com,0,"FLAME:TP-0041,TP-0042","TP-0041,TP-0042",dns@cloudflare.com,,,
15057777.com,0,"FLAME:TP-0041,TP-0042","TP-0041,TP-0042",dns@cloudflare.com,,,
1win-casino-zx8.ru,0,FLAME:TP-0079,TP-0079,dns@cloudflare.com,,,8080007f7f7fff80
1win-casino-pz3.ru,0,FLAME:TP-0079,TP-0079,dns@cloudflare.com,,,
1win-casino-kg5.ru,0,FLAME:TP-0079,TP-0079,dns@cloudflare.com,,,8080007f7f7fff80
1zc.cashbenties.com,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80),,hostmaster@cashbenties.com,,,
1win-casino-si9.ru,0,FLAME:TP-0079,TP-0079,dns@cloudflare.com,,,8080007f7f7fff80
1hotmail.com,0,"FLAME:TP-0001,TP-0012","TP-0001,TP-0012",azuredns-hostmaster@microsoft.com,,,
1ckursy.ru,0,"FLAME:TP-0001,TP-0043","TP-0001,TP-0043",support@regtime.net,,,
1208designs.com,0,"FLAME:TP-0001,TP-0012","TP-0001,TP-0012",dns@cloudflare.com,,,
1gmail.com,0,FLAME:TP-0001,TP-0001,hostmaster@trellian.com,,,
2023socialdividend.org.com,0,"FLAME:TP-0001,TP-0019","TP-0001,TP-0019",,,,
1phbet.info,0,"FLAME:TP-0001,TP-0036","TP-0001,TP-0036",dns@cloudflare.com,,,
1s4w6.anonaddy.com,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80),,,,,
1phbetlogin.info,0,FLAME:TP-0079,TP-0079,dns@cloudflare.com,,,
2022darkmarkets.com,0,"FLAME:TP-0042,TP-0048,TP-0061","TP-0042,TP-0048,TP-0061",dns@cloudflare.com,,,
20bentstbrighton.com,0,"FLAME:TP-0036,TP-0063","TP-0036,TP-0063",dns@cloudflare.com,,,
2233.xyz,0,"FLAME:TP-0041,TP-0079","TP-0041,TP-0079",,,,
2227728.com,0,"FLAME:TP-0041,TP-0042","TP-0041,TP-0042",dns@jomax.net,,,
212betlogin.net,0,"FLAME:TP-0001,TP-0036,TP-0063","TP-0001,TP-0036,TP-0063",dns@cloudflare.com,,,
1gmail.net,0,FLAME:TP-0002,TP-0002,dns@cloudflare.com,,,
1s.fr,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80),,tech@ovh.net,,,
212bet.info,0,"FLAME:TP-0001,TP-0036,TP-0063","TP-0001,TP-0036,TP-0063",dns@cloudflare.com,,,
2021-mail.online,0,FLAME:TP-0079,TP-0079,hostmaster@sedo.de,,,
1zl.org,0,FP-0008: pickelhost/eye-mail ULA SPF Phishing Platform (conf: 75),TP-0001,hostmaster@1zl.org,,,c3913c6d611e7669
2014mail.ru,0,"FLAME:TP-0001,TP-0012","TP-0001,TP-0012",monitor@hosterdaddy.com,,,
220088211.com,0,FLAME:TP-0041,TP-0041,dns@cloudflare.com,,,
206534.com,0,"FLAME:TP-0036,TP-0063","TP-0036,TP-0063",dns@cloudflare.com,,,c1817e7a371cc9e1
221320.com,0,"FLAME:TP-0036,TP-0079","TP-0036,TP-0079",dns@cloudflare.com,,,
222wincasino.net,0,FLAME:TP-0036,TP-0036,dns@cloudflare.com,,,
2.pl,0,"FLAME:TP-0001,TP-0012","TP-0001,TP-0012",biuro@ut.pl,,,
221188211.com,0,FLAME:TP-0041,TP-0041,dns@cloudflare.com,,,
222288211.com,0,FLAME:TP-0041,TP-0041,dns@cloudflare.com,,,
223388211.com,0,FLAME:TP-0041,TP-0041,dns@cloudflare.com,,,
224900.xyz,0,"FLAME:TP-0041,TP-0042,TP-0048","TP-0041,TP-0042,TP-0048",dns@cloudflare.com,,,
22ccf.com,0,"FLAME:TP-0036,TP-0054","TP-0036,TP-0054",dns@cloudflare.com,,,
22331.anonaddy.com,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80),,,,,
1manbet.info,0,FLAME:TP-0042,TP-0042,dns@jomax.net,,,
234927.com,0,FLAME:TP-0042,TP-0042,dns@cloudflare.com,,,
238808.xyz,0,"FLAME:TP-0041,TP-0079","TP-0041,TP-0079",dns@cloudflare.com,,,
242nn.net,0,FLAME:TP-0042,TP-0042,dns@cloudflare.com,,,c6b055f512758bb2
240291.xyz,0,"FLAME:TP-0041,TP-0042","TP-0041,TP-0042",dns@cloudflare.com,,,
23.8.dnsabr.com,0,"FLAME:TP-0042,TP-0043","TP-0042,TP-0043",,,,e6d2182de5420ebf
225588211.com,0,FLAME:TP-0041,TP-0041,dns@cloudflare.com,,,
23betcasino.org,0,FLAME:TP-0079,TP-0079,dns@cloudflare.com,,,
229988211.com,0,FLAME:TP-0041,TP-0041,dns@cloudflare.com,,,
226688211.com,0,FLAME:TP-0041,TP-0041,dns@cloudflare.com,,,
234wincasino.net,0,FLAME:TP-0036,TP-0036,dns@cloudflare.com,,,
26pg.com,0,"FLAME:TP-0036,TP-0054","TP-0036,TP-0054",dns@jomax.net,,,
247prohost.com,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80),,dns@cloudflare.com,,,
24betcasino.info,0,FLAME:TP-0015,TP-0015,dns@cloudflare.com,,,
23vn.info,0,"FLAME:TP-0036,TP-0063","TP-0036,TP-0063",dns@cloudflare.com,,,
25sas.help,0,FP-0008: pickelhost/eye-mail ULA SPF Phishing Platform (conf: 90),TP-0001,hostmaster@25sas.help,,,
18dewa.net,0,FLAME:TP-0036,TP-0036,hostmaster@18dewa.net,,,
27384.com,0,"FLAME:TP-0042,TP-0048","TP-0042,TP-0048",dns@cloudflare.com,,,c6b055f512758bb2
1769www.com,0,"FLAME:TP-0041,TP-0042","TP-0041,TP-0042",hostmaster@hichina.com,,,
268713.xyz,0,"FLAME:TP-0041,TP-0042","TP-0041,TP-0042",dns@cloudflare.com,,,
26564.xyz,0,"FLAME:TP-0036,TP-0054","TP-0036,TP-0054",dns@cloudflare.com,,,c1817e7a371cc9e1
224lll.com,0,FLAME:TP-0042,TP-0042,dns@cloudflare.com,,,
24ncasino.info,0,"FLAME:TP-0036,TP-0054","TP-0036,TP-0054",dns@cloudflare.com,,,
28betcasino.info,0,"FLAME:TP-0036,TP-0054","TP-0036,TP-0054",,,,
27betapp.info,0,"FLAME:TP-0036,TP-0054","TP-0036,TP-0054",dns@cloudflare.com,,,
224hhh.com,0,FLAME:TP-0042,TP-0042,dns@cloudflare.com,,,
275785.xyz,0,FLAME:TP-0079,TP-0079,dns@cloudflare.com,,,
276709.xyz,0,FLAME:TP-0079,TP-0079,dns@cloudflare.com,,,
289winbet.net,0,"FLAME:TP-0036,TP-0054","TP-0036,TP-0054",dns@cloudflare.com,,,
280184.xyz,0,"FLAME:TP-0041,TP-0042","TP-0041,TP-0042",dns@cloudflare.com,,,
297372.xyz,0,FLAME:TP-0079,TP-0079,dns@cloudflare.com,,,
22-bet.org,0,"FLAME:TP-0001,TP-0036,TP-0063","TP-0001,TP-0036,TP-0063",root-cpanel@fozzy.com,,,95a55af346072f1a
297371.xyz,0,FLAME:TP-0079,TP-0079,dns@cloudflare.com,,,
206536.com,0,FLAME:TP-0041,TP-0041,dnsconct@myhostadmin.net,,,
297373.xyz,0,FLAME:TP-0079,TP-0079,dns@cloudflare.com,,,
206560.com,0,FLAME:TP-0041,TP-0041,dnsconct@myhostadmin.net,,,
2go-mail.com,0,FP-0008: pickelhost/eye-mail ULA SPF Phishing Platform (conf: 75),TP-0001,hostmaster@2go-mail.com,,,
282gmail.co.com,0,"FLAME:TP-0002, TP-0079","TP-0002, TP-0079",,,,
2situs.com,0,FLAME:TP-0001,TP-0001,,,,
2lottery8.com,0,FLAME:TP-0015,TP-0015,,,,
291q.com,0,FLAME:TP-0041,TP-0041,dns@cloudflare.com,,,c1817e7a371cc9e1
2qbet.info,0,FLAME:TP-0001,TP-0001,,,,
1xslots.charity,0,FLAME:TP-0079,TP-0079,dns@cloudflare.com,,,c7f5415a1cda43c3
2ezbet.com,0,FLAME:TP-0015,TP-0015,dns@cloudflare.com,,,
242productionsdj.com,0,"FLAME:TP-0036,TP-0043","TP-0036,TP-0043",,,,
267918.com,0,"FLAME:TP-0036,TP-0054","TP-0036,TP-0054",dns@cloudflare.com,,,
2var.com,0,FLAME:TP-0001,TP-0001,,,,
2jbetdownload.com,0,FLAME:TP-0015,TP-0015,dns@cloudflare.com,,,
2932919455.dynv6.net,0,FLAME:TP-0079,TP-0079,,,,
2jilicasino.com,0,FLAME:TP-0015,TP-0015,dns@cloudflare.com,,,
30150005.com,0,"FLAME:TP-0001,TP-0015","TP-0001,TP-0015",dns@cloudflare.com,,,c6b055f512758bb2
314375.xyz,0,"FLAME:TP-0041,TP-0042","TP-0041,TP-0042",dns@cloudflare.com,,,
2phcasino.net,0,FLAME:TP-0001,TP-0001,dns@cloudflare.com,,,
2phcomcasinologin.com,0,FLAME:TP-0001,TP-0001,dns@cloudflare.com,,,
2phcasinologin.net,0,FLAME:TP-0001,TP-0001,dns@cloudflare.com,,,
31homerroad.com,0,FLAME:TP-0043,TP-0043,dns@cloudflare.com,,,c6b055f512758bb2
333betcasinologin.com,0,"FLAME:TP-0079, TP-0013, TP-0017","TP-0079, TP-0013, TP-0017",dns@cloudflare.com,,,
2184445.com,0,"FLAME:TP-0042,TP-0048","TP-0042,TP-0048",root@2184445.com,,,c54a6aa53cb63e92
1abccloseouts.com,0,FLAME:TP-0043,TP-0043,,,,918f66641bda3d68
3435637.xyz,0,FLAME:TP-0041,TP-0041,dns@cloudflare.com,,,
314159.anonaddy.me,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80),,,,,
2nf.org,0,FLAME:TP-0041,TP-0041,hostmaster@2nf.org,,,
335522.xyz,0,FP-0011: IP-KVM / Remote-Management Exposure (conf: 15),,dns@cloudflare.com,,,
332288211.com,0,FLAME:TP-0041,TP-0041,dns@cloudflare.com,,,
0cd.cn,0,FP-0011: IP-KVM / Remote-Management Exposure (conf: 15),,freednsadmin@dnspod.com,,,
223gamail.co.com,0,"FLAME:TP-0001,TP-0012","TP-0001,TP-0012",dns@cloudflare.com,,,d13d16534bc4dc95
345213.xyz,0,"FLAME:TP-0041,TP-0042","TP-0041,TP-0042",dns@cloudflare.com,,,
334488211.com,0,FLAME:TP-0041,TP-0041,dns@cloudflare.com,,,
335588211.com,0,FLAME:TP-0041,TP-0041,dns@cloudflare.com,,,
3633betlogin.net,0,FLAME:TP-0036,TP-0036,dns@cloudflare.com,,,
38yahoo.com,0,FLAME:TP-0001,TP-0001,,,,
338888211.com,0,FLAME:TP-0041,TP-0041,dns@cloudflare.com,,,
336688211.com,0,FLAME:TP-0041,TP-0041,dns@cloudflare.com,,,
2senior.dk,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80),,dns@cloudflare.com,,,
2night.dk,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80),,dns@cloudflare.com,,,
388801.xyz,0,"FLAME:TP-0041,TP-0042,TP-0048","TP-0041,TP-0042,TP-0048",dns@cloudflare.com,,,
1820mail.vip,0,FLAME:TP-0019,TP-0019,dns@cloudflare.com,,,
32.rs,0,"FLAME:TP-0041,TP-0042","TP-0041,TP-0042",dns@cloudflare.com,,,
388807.xyz,0,"FLAME:TP-0041,TP-0079","TP-0041,TP-0079",dns@cloudflare.com,,,
388901.xyz,0,"FLAME:TP-0041,TP-0042,TP-0048","TP-0041,TP-0042,TP-0048",dns@cloudflare.com,,,
34tv3v63.anonaddy.me,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80),,,,,
3doggrafx.com,0,"FLAME:TP-0041,TP-0042,TP-0043","TP-0041,TP-0042,TP-0043",dns@cloudflare.com,,,
369jlcasino.com,0,FLAME:TP-0079,TP-0079,dns@cloudflare.com,,,
3xk.xyz,0,"FLAME:TP-0041,TP-0042","TP-0041,TP-0042",,,,
188bet.sa.com,0,FLAME:TP-0019,TP-0019,dns@cloudflare.com,,,
20gmail.co.com,0,"FLAME:TP-0001,TP-0012","TP-0001,TP-0012",dns@cloudflare.com,,,d13d16534bc4dc95
3nsoze.tcslco.co.com,0,FLAME:TP-0079,TP-0079,,,,
339zzz.com,0,FLAME:TP-0042,TP-0042,dns@cloudflare.com,,,
3h5gdraa.xzzy.info,0,"FLAME:TP-0041,TP-0042","TP-0041,TP-0042",,,,
411216.com,0,FLAME:TP-0063,TP-0063,dns@cloudflare.com,,,af180f0c1f655b71
3reyescasino.info,0,FLAME:TP-0001,TP-0001,dns@cloudflare.com,,,
3ab9arino.anonaddy.com,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80),,,,,
3fsv.site,0,FLAME:TP-0079,TP-0079,hostmaster@sedo.de,,,
39jl.info,0,"FLAME:TP-0001,TP-0067","TP-0001,TP-0067",dns@cloudflare.com,,,
3r.addy.io,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80),,,,,
365casinologin.click,0,"FLAME:TP-0079,TP-0067","TP-0079,TP-0067",dns@cloudflare.com,,,
3rrgame.info,0,FLAME:TP-0079,TP-0079,dns@cloudflare.com,,,
444044.xyz,0,FLAME:TP-0079,TP-0079,dns@cloudflare.com,,,
3jlcasinologin.com,0,FLAME:TP-0079,TP-0079,dns@cloudflare.com,,,
365jlcasino.com,0,FLAME:TP-0079,TP-0079,dns@cloudflare.com,,,
432513.xyz,0,FLAME:TP-0079,TP-0079,dns@cloudflare.com,,,
42betlogin.info,0,FLAME:TP-0079,TP-0079,dns@cloudflare.com,,,
440111.xyz,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80),,dns@cloudflare.com,,,
350qs.com,0,"FLAME:TP-0041,TP-0042","TP-0041,TP-0042",,,,
44s.como.com.co.com,0,FLAME:TP-0079,TP-0079,,,,
20minutos.ws,0,FP-0008: pickelhost/eye-mail ULA SPF Phishing Platform (conf: 75),TP-0001,,,,
2fi.ru,0,FLAME:TP-0067,TP-0067,support@regery.com,,,
443388211.com,0,FLAME:TP-0041,TP-0041,dns@cloudflare.com,,,
456bet1.org,0,"FLAME:TP-0017,TP-0058","TP-0017,TP-0058",,,,
44xs.como.com.co.com,0,"FLAME:TP-0002, TP-0079","TP-0002, TP-0079",,,,
446688211.com,0,FLAME:TP-0041,TP-0041,dns@cloudflare.com,,,
445588211.com,0,FLAME:TP-0041,TP-0041,dns@cloudflare.com,,,
448888211.com,0,FLAME:TP-0041,TP-0041,dns@cloudflare.com,,,
449988211.com,0,FLAME:TP-0041,TP-0041,dns@cloudflare.com,,,
456win.info,0,"FLAME:TP-0017,TP-0058","TP-0017,TP-0058",dns@cloudflare.com,,,
470qs.com,0,FLAME:TP-0060,TP-0060,dns@cloudflare.com,,,8000800080008000
466betapp.net,0,"FLAME:TP-0017,TP-0058","TP-0017,TP-0058",dns@cloudflare.com,,,
4777cxgame.com,0,FLAME:TP-0060,TP-0060,dns@cloudflare.com,,,
492969.xyz,0,"FLAME:TP-0041,TP-0042","TP-0041,TP-0042",dns@cloudflare.com,,,
4777cxlogin.com,0,FLAME:TP-0001,TP-0001,dns@cloudflare.com,,,
4777cxapk.com,0,"FLAME:TP-0017,TP-0026","TP-0017,TP-0026",dns@cloudflare.com,,,
3jf.cn,0,FP-0011: IP-KVM / Remote-Management Exposure (conf: 15),,master@jmdns.com,,,
4education.com,0,FP-0008: pickelhost/eye-mail ULA SPF Phishing Platform (conf: 75),TP-0001,admin@giantpanda.com,,,
206806.com,0,"FLAME:TP-0041,TP-0042","TP-0041,TP-0042",dnsadmin@cdnetworks.com,,,
4abet.info,0,"FLAME:TP-0017,TP-0026","TP-0017,TP-0026",dns@cloudflare.com,,,
4clipart.com,0,FLAME:TP-0043,TP-0043,hostmaster@trellian.com,,,
4evp8xai.cashbenties.com,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80),,hostmaster@cashbenties.com,,,
4betcasino.info,0,"FLAME:TP-0017,TP-0026","TP-0017,TP-0026",dns@cloudflare.com,,,
4s.como.com.co.com,0,FLAME:TP-0079,TP-0079,,,,
47bmt.com,0,FLAME:TP-0042,TP-0042,dns@cloudflare.com,,,
